Transaction_ID,Date,Product_ID,Product_Name,Category,Quantity,Price,Revenue,Cost,Net_Profit,Region,Channel,Customer_Segment,CAC
TX-100000,2025-08-10 18:23:32,P001,AuraBook Pro 15,Electronics,1,1299,1299,780,519,North America,Online,New,32
TX-100001,2025-08-11 11:54:44,P014,FlexiCore Anti-Slip Yoga Mat,Fitness & Sports,1,40,40,12,28,North America,Online,New,34
TX-100002,2025-08-12 05:25:56,P007,Core Denim Slim Fit,Fashion,1,65,65,22,43,Latin America,Online,Returning,0
TX-100003,2025-08-12 22:57:08,P014,FlexiCore Anti-Slip Yoga Mat,Fitness & Sports,1,40,40,12,28,Asia-Pacific,In-Store,New,10
TX-100004,2025-08-13 16:28:20,P013,IronPulse Adjustable Dumbbell,Fitness & Sports,2,249,498,240,258,North America,In-Store,Returning,0
TX-100005,2025-08-14 09:59:32,P015,HydroDash Insulated Flask,Fitness & Sports,3,30,90,24,66,North America,In-Store,New,15
TX-100006,2025-08-15 03:30:44,P012,Breeze Mist Ultrasonic Diffuser,Home & Living,1,50,50,18,32,Europe,Affiliate,New,6
TX-100007,2025-08-15 21:01:56,P003,Quantum Charge Wireless Pad,Electronics,5,49,245,75,170,North America,Online,Returning,0
TX-100008,2025-08-16 14:33:08,P012,Breeze Mist Ultrasonic Diffuser,Home & Living,1,50,50,18,32,Europe,Affiliate,Returning,0
TX-100009,2025-08-17 08:04:20,P008,Voyager Anti-Theft Backpack,Fashion,3,75,225,75,150,Europe,In-Store,Returning,0
TX-100010,2025-08-18 01:35:32,P002,SoundSync ANC Headphones,Electronics,1,199,199,85,114,North America,Online,Returning,0
TX-100013,2025-08-20 06:09:08,P016,SonicPulse Smart Jump Rope,Fitness & Sports,1,45,45,15,30,Latin America,Affiliate,Returning,0
TX-100014,2025-08-20 23:40:20,P018,HydroBloom Nourishing Cream,Beauty & Care,3,38,114,30,84,Asia-Pacific,Affiliate,Returning,0
TX-100015,2025-08-21 17:11:32,P005,Luxe Linen Blazer,Fashion,1,120,120,40,80,Latin America,Online,New,28
TX-100016,2025-08-22 10:42:44,P013,IronPulse Adjustable Dumbbell,Fitness & Sports,2,249,498,240,258,Latin America,Affiliate,Returning,0
TX-100017,2025-08-23 04:13:56,P001,AuraBook Pro 15,Electronics,1,1169,1169,780,389,North America,Affiliate,Returning,0
TX-100018,2025-08-23 21:45:08,P001,AuraBook Pro 15,Electronics,1,1299,1299,780,519,Asia-Pacific,Affiliate,New,155
TX-100019,2025-08-24 15:16:20,P017,DermaBright Serum Duo,Beauty & Care,1,55,55,14,41,Europe,Online,Returning,0
TX-100020,2025-08-25 08:47:32,P017,DermaBright Serum Duo,Beauty & Care,2,49,98,28,70,North America,Affiliate,Returning,0
TX-100022,2025-08-26 19:49:56,P010,Ember Ceramic Coffee Mug Set,Home & Living,3,35,105,30,75,Europe,Online,New,17
TX-100023,2025-08-27 13:21:08,P003,Quantum Charge Wireless Pad,Electronics,1,49,49,15,34,Europe,Online,Returning,0
TX-100025,2025-08-29 00:23:32,P007,Core Denim Slim Fit,Fashion,1,65,65,22,43,Europe,Affiliate,Returning,0
TX-100026,2025-08-29 17:54:44,P004,AeroGlide Smart Watch,Electronics,2,299,598,260,338,North America,Online,New,33
TX-100027,2025-08-30 11:25:56,P003,Quantum Charge Wireless Pad,Electronics,2,46,92,30,62,North America,Online,New,23
TX-100028,2025-08-31 04:57:08,P007,Core Denim Slim Fit,Fashion,2,65,130,44,86,Europe,Affiliate,Returning,0
TX-100029,2025-08-31 22:28:20,P004,AeroGlide Smart Watch,Electronics,2,254,508,260,248,North America,In-Store,Returning,0
TX-100031,2025-09-02 09:30:44,P013,IronPulse Adjustable Dumbbell,Fitness & Sports,1,249,249,120,129,Asia-Pacific,Online,New,29
TX-100032,2025-09-03 03:01:56,P006,Stratus Comfort Sneakers,Fashion,1,85,85,30,55,Asia-Pacific,In-Store,New,13
TX-100033,2025-09-03 20:33:08,P018,HydroBloom Nourishing Cream,Beauty & Care,1,38,38,10,28,North America,Online,New,30
TX-100034,2025-09-04 14:04:20,P013,IronPulse Adjustable Dumbbell,Fitness & Sports,1,249,249,120,129,North America,Online,Returning,0
TX-100035,2025-09-05 07:35:32,P015,HydroDash Insulated Flask,Fitness & Sports,1,30,30,8,22,Asia-Pacific,In-Store,Returning,0
TX-100036,2025-09-06 01:06:44,P002,SoundSync ANC Headphones,Electronics,3,199,597,255,342,North America,Affiliate,Returning,0
TX-100038,2025-09-07 12:09:08,P002,SoundSync ANC Headphones,Electronics,1,199,199,85,114,North America,Online,New,33
TX-100039,2025-09-08 05:40:20,P020,HerbalPure Charcoal Mask Set,Beauty & Care,2,28,56,12,44,North America,Affiliate,New,6
TX-100040,2025-09-08 23:11:32,P011,Helix Memory Foam Pillow,Home & Living,1,80,80,32,48,Asia-Pacific,Online,Returning,0
TX-100041,2025-09-09 16:42:44,P010,Ember Ceramic Coffee Mug Set,Home & Living,1,35,35,10,25,Latin America,In-Store,New,14
TX-100043,2025-09-11 03:45:08,P007,Core Denim Slim Fit,Fashion,1,65,65,22,43,Asia-Pacific,Online,Returning,0
TX-100044,2025-09-11 21:16:20,P018,HydroBloom Nourishing Cream,Beauty & Care,5,38,190,50,140,Asia-Pacific,Affiliate,New,22
TX-100045,2025-09-12 14:47:32,P004,AeroGlide Smart Watch,Electronics,2,299,598,260,338,Europe,In-Store,New,9
TX-100046,2025-09-13 08:18:44,P007,Core Denim Slim Fit,Fashion,1,65,65,22,43,Asia-Pacific,Online,Returning,0
TX-100047,2025-09-14 01:49:56,P003,Quantum Charge Wireless Pad,Electronics,1,49,49,15,34,North America,In-Store,New,9
